farmer_id,name,state,district,village,latitude,longitude,crop,variety,quantity_kg,grade,harvest_date,expected_price
F001,Naveen,Andhra Pradesh,Guntur,Tenali,28.128,75.2171,Cotton,Bt Cotton,200,A,07-08-2026,68.53
F002,Vijay,Karnataka,Bengaluru Rural,Angondhalli,22.7975,81.6292,Rice,Basmati,600,B,05-09-2026,28.98
F003,Kavitha,Uttar Pradesh,Lucknow,Malihabad,25.2969,75.4309,Wheat,PBW-343,400,A,10-08-2026,21.72
F004,Sunita,Karnataka,Mysuru,Hunsur,28.7905,75.1032,Groundnut,TMV-2,50,B,04-09-2026,52.5
F005,Kavitha,Andhra Pradesh,Krishna,Machilipatnam,27.317,86.1308,Onion,Local,1000,A,19-08-2026,34.7
F006,Ravi,Punjab,Amritsar,Rayya,29.1064,83.0725,Sugarcane,Co-86032,300,A,12-09-2026,3.27
F007,Suresh,Andhra Pradesh,Guntur,Tenali,13.3315,78.54,Wheat,Local,400,A,10-09-2026,25.51
F008,Kavitha,Maharashtra,Pune,Shirur,15.4229,83.1761,Maize,Local,100,A,06-09-2026,23.26
F009,Kavitha,Andhra Pradesh,Krishna,Machilipatnam,21.3609,86.5695,Cotton,Bt Cotton,200,B,04-09-2026,60.25
F010,Ravi,Punjab,Ludhiana,Khanna,12.0196,83.5267,Potato,Local,100,B,08-08-2026,13.53
F011,Ashok,Karnataka,Mysuru,Hunsur,8.7526,84.0901,Groundnut,TMV-2,600,A,05-09-2026,67.22
F012,Krishna,Tamil Nadu,Madurai,Usilampatti,27.7688,77.6874,Onion,Nashik Red,400,A,01-08-2026,34.08
F013,Ramesh,Maharashtra,Nagpur,Kamptee,25.6298,81.425,Cotton,Bt Cotton,150,A,11-08-2026,65.79
F014,Manjunath,Tamil Nadu,Madurai,Usilampatti,13.7992,81.943,Tomato,Local,300,C,20-08-2026,23.27
F015,Ravi,Karnataka,Belagavi,Gokak,12.1328,81.3874,Onion,Bellary Red,150,A,31-08-2026,33.94
F016,Lakshmi,Uttar Pradesh,Meerut,Kharkhoda,18.1382,81.2461,Rice,Local,250,A,12-09-2026,38
F017,Vijay,Maharashtra,Pune,Baramati,10.0618,82.8354,Sugarcane,Co-86032,800,B,07-09-2026,3.22
F018,Savitri,Karnataka,Bengaluru Rural,Hoskote,11.4109,87.0972,Onion,Bellary Red,200,A,01-09-2026,19.28
F019,Santosh,Tamil Nadu,Madurai,Melur,17.8187,80.5383,Chilli,Local,200,A,12-09-2026,85.86
F020,Naveen,Karnataka,Belagavi,Athani,12.6846,80.2806,Onion,Local,400,B,07-08-2026,19.97
F021,Ramesh,Maharashtra,Nashik,Sinnar,22.8472,81.5682,Rice,Basmati,500,B,05-09-2026,26.96
F022,Kavitha,Karnataka,Bengaluru Rural,Devanahalli,12.122,74.0302,Maize,Local,500,A,26-08-2026,23.41
F023,Santosh,Punjab,Amritsar,Tarn Taran,21.242,81.5907,Maize,Local,150,A,14-08-2026,23.81
F024,Ganesh,Punjab,Ludhiana,Khanna,29.6371,75.1216,Groundnut,TMV-2,600,C,03-09-2026,53.15
F025,Naveen,Karnataka,Belagavi,Chikodi,21.5794,82.6713,Rice,Sona Masuri,100,C,06-09-2026,29.92
F026,Rajesh,Andhra Pradesh,Krishna,Gudivada,23.2772,78.2,Rice,Local,1200,A,17-08-2026,32.92
F027,Vijay,Karnataka,Bengaluru Rural,Nelamangala,29.0317,86.3321,Groundnut,Local,100,B,02-09-2026,55.3
F028,Ashok,Punjab,Amritsar,Ajnala,23.193,81.7644,Chilli,Local,800,C,11-09-2026,91.74
F029,Ashok,Karnataka,Bengaluru Rural,Hoskote,13.1339,78.8003,Onion,Local,1200,B,18-08-2026,20.64
F030,Rekha,Andhra Pradesh,Krishna,Gudivada,15.8382,75.8315,Cotton,Bt Cotton,100,B,18-08-2026,55.88
F031,Suresh,Maharashtra,Nagpur,Hingna,23.7024,76.0868,Potato,Local,600,A,05-08-2026,21.45
F032,Lakshmi,Punjab,Ludhiana,Samrala,13.1217,77.4934,Wheat,HD-2967,250,A,03-08-2026,27.19
F033,Rajesh,Punjab,Amritsar,Rayya,9.0453,84.3119,Wheat,HD-2967,150,C,12-08-2026,27.05
F034,Shiva,Uttar Pradesh,Meerut,Mawana,13.3935,85.4322,Wheat,PBW-343,100,A,03-08-2026,26.87
F035,Mahesh,Punjab,Amritsar,Ajnala,10.0273,84.8266,Rice,Basmati,1000,A,22-08-2026,30.57
F036,Rajesh,Andhra Pradesh,Krishna,Gudivada,21.6246,78.8396,Tomato,Local,250,A,17-08-2026,18.84
F037,Santosh,Uttar Pradesh,Meerut,Mawana,28.8627,81.5383,Groundnut,Local,250,A,28-08-2026,50.03
F038,Sunita,Andhra Pradesh,Guntur,Narasaraopet,27.1563,84.0766,Maize,Hybrid,1000,C,09-09-2026,19.88
F039,Santosh,Tamil Nadu,Madurai,Usilampatti,23.1284,79.308,Sugarcane,Local,1200,A,09-08-2026,3.19
F040,Geetha,Maharashtra,Nagpur,Katol,17.9575,82.1198,Cotton,Local,600,B,20-08-2026,60.74
F041,Ravi,Punjab,Amritsar,Tarn Taran,14.7433,83.294,Chilli,Guntur Sannam,600,A,11-08-2026,99.53
F042,Manjunath,Punjab,Ludhiana,Khanna,18.953,85.8963,Cotton,Bt Cotton,200,A,03-08-2026,59.9
F043,Lakshmi,Uttar Pradesh,Lucknow,Malihabad,28.1385,86.0462,Maize,Local,400,A,11-09-2026,22.13
